cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Jodis lactearia,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Drepana falcataria,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Lacanobia suasa,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Crocallis elinguaria,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cleoceris scoriacea,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrrhia umbra,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula ornata,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spilosoma lutea,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna turca,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna straminea,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eilema griseola,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrochola nitida,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Actinotia polyodon,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Lomographa temerata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Anaplectoides prasinus,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Therapis flavicaria,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Costaconvexa polygrammata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania verbascalis,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Crocallis elinguaria,Proboscis development,proboscis reduced and non-functional; ,proboscis reduced an non-functional,,,moderate,predicted a different value for this trait
"species present, trait missing",Stauropus fagi,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pediasia contaminella,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Crocallis elinguaria,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Horisme vitalbata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Craniophora ligustri,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cybosia mesomella,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Philereme vetulata,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Artiora evonymaria,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrotis trux,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agriopis marginaria,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Costaconvexa polygrammata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Dysstroma truncata,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Charanyca ferruginea,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
